ip,subnet_24,zone_label,service_type,service_confidence,ports,protocols,community,degree,in_degree,out_degree,anomaly_score,anomaly_level,is_anomaly
10.16.1.166,10.16.1,"10.16.1|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.3.145,10.16.3,"10.16.3|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.1.158,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.0.166,10.16.0,"10.16.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.4.13,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.1.50,10.16.1,"10.16.1|Web|443,36000",Web,0.5,443|36000,,74,2,0,5,0.0183,Low,False
10.16.0.174,10.16.0,"10.16.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.2.51,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.1.42,10.16.1,"10.16.1|Web|443,1514,36000",Web,0.33,443|1514|36000,,117,2,5564,11,0.0611,Low,False
10.16.2.49,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.1.28,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.1.9,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.0.139,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.1.137,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.4.10,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.4.7,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.4.12,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.2.30,10.26.2,"10.26.2|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.2.39,10.16.2,"10.16.2|Web|443,1514",Web,0.5,443|1514,,258,2,5572,9,0.0183,Low,False
10.16.1.175,10.16.1,"10.16.1|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.0.168,10.16.0,"10.16.0|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.1.46,10.16.1,"10.16.1|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.0.171,10.16.0,"10.16.0|Web|443,1514,36000",Web,0.33,443|1514|36000,,58,2,2,6,0.0611,Low,False
10.16.0.173,10.16.0,"10.16.0|Web|443,1514,36000",Web,0.33,443|1514|36000,,223,2,5575,11,0.0611,Low,False
10.16.1.47,10.16.1,"10.16.1|Web|443,1514,36000",Web,0.33,443|1514|36000,,201,2,5569,11,0.0611,Low,False
10.16.3.135,10.16.3,"10.16.3|Web|443,1514,36000",Web,0.33,443|1514|36000,,200,2,5579,11,0.0611,Low,False
10.16.0.170,10.16.0,"10.16.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.0.175,10.16.0,10.16.0|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.0.40,10.16.0,"10.16.0|Logging|1514,36000",Logging,0.5,1514|36000,,166,1,5576,10,0.0625,Low,False
10.16.0.46,10.16.0,10.16.0|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.26.1.33,10.26.1,"10.26.1|Logging|1514,36000",Logging,0.5,1514|36000,,116,1,5580,10,0.0625,Low,False
10.16.3.11,10.16.3,10.16.3|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.26.1.161,10.26.1,10.26.1|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.0.177,10.16.0,"10.16.0|Logging|1514,36000",Logging,0.5,1514|36000,,94,1,5570,9,0.0197,Low,False
10.26.0.32,10.26.0,10.26.0|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.26.0.158,10.26.0,10.26.0|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.3.7,10.16.3,"10.16.3|Logging|1514,36000",Logging,0.5,1514|36000,,127,1,5572,10,0.0625,Low,False
10.16.4.8,10.16.4,"10.16.4|Logging|1514,36000",Logging,0.5,1514|36000,,204,1,5570,10,0.0625,Low,False
10.16.3.16,10.16.3,10.16.3|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.1.45,10.16.1,"10.16.1|Logging|1514,36000",Logging,0.5,1514|36000,,239,1,5575,10,0.0625,Low,False
10.16.1.171,10.16.1,10.16.1|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.2.37,10.16.2,10.16.2|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.4.9,10.16.4,10.16.4|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.26.0.163,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.1.34,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.1.168,10.16.1,"10.16.1|Web|443,1514,36000",Web,0.33,443|1514|36000,,198,2,5572,11,0.0611,Low,False
10.16.3.134,10.16.3,"10.16.3|Web|443,1514,36000",Web,0.33,443|1514|36000,,231,2,5581,11,0.0611,Low,False
10.16.3.10,10.16.3,"10.16.3|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.1.44,10.16.1,"10.16.1|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.3.14,10.16.3,"10.16.3|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.2.147,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.0.41,10.16.0,"10.16.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.3.13,10.16.3,"10.16.3|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.1.40,10.16.1,"10.16.1|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.1.38,10.16.1,"10.16.1|Web|443,1514,36000",Web,0.33,443|1514|36000,,218,2,5554,11,0.0611,Low,False
10.26.2.36,10.26.2,"10.26.2|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.4.6,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.4.15,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.1.36,10.26.1,"10.26.1|Web|443,1514,36000",Web,0.33,443|1514|36000,,26,2,1,6,0.0611,Low,False
10.16.2.41,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.0.164,10.26.0,"10.26.0|Web|443,1514",Web,0.5,443|1514,,43,2,5573,9,0.0183,Low,False
10.16.2.42,10.16.2,"10.16.2|Web|443,1514",Web,0.5,443|1514,,181,2,5575,9,0.0183,Low,False
10.16.0.38,10.16.0,"10.16.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.3.137,10.16.3,"10.16.3|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.0.167,10.16.0,"10.16.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.0.44,10.16.0,"10.16.0|Web|443,1514,36000",Web,0.33,443|1514|36000,,201,2,5569,11,0.0611,Low,False
10.16.2.138,10.16.2,"10.16.2|Web|443,1514,36000",Web,0.33,443|1514|36000,,172,2,5582,11,0.0611,Low,False
10.16.0.42,10.16.0,"10.16.0|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.1.163,10.26.1,"10.26.1|Web|443,1514",Web,0.5,443|1514,,137,2,5585,9,0.0183,Low,False
10.16.2.45,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.2.134,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.2.136,10.16.2,"10.16.2|Web|443,1514",Web,0.5,443|1514,,141,2,5563,9,0.0183,Low,False
10.16.2.47,10.16.2,"10.16.2|Web|443,1514",Web,0.5,443|1514,,179,2,5570,9,0.0183,Low,False
10.16.4.133,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.3.18,10.16.3,"10.16.3|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.2.34,10.26.2,"10.26.2|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.0.37,10.16.0,"10.16.0|Web|443,1514",Web,0.5,443|1514,,219,2,5583,9,0.0183,Low,False
10.26.1.164,10.26.1,"10.26.1|Web|443,1514",Web,0.5,443|1514,,252,2,5571,9,0.0183,Low,False
10.16.2.144,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.0.161,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.2.145,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.4.161,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.1.158,10.16.1,"10.16.1|Web|443,1514",Web,0.5,443|1514,,179,2,5570,9,0.0183,Low,False
10.26.1.41,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.3.30,10.16.3,"10.16.3|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.4.138,10.16.4,"10.16.4|Web|443,1514",Web,0.5,443|1514,,176,2,5578,9,0.0183,Low,False
10.16.2.135,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.2.140,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.3.34,10.16.3,"10.16.3|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.0.47,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.2.28,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.4.48,10.26.4,"10.26.4|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.4.152,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.16.4.165,10.16.4,"10.16.4|Web|443,1514",Web,0.5,443|1514,,141,2,5563,9,0.0183,Low,False
10.26.0.38,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.0.146,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,272,2,0,3,0.0938,Low,False
10.26.113.139,10.26.113,"10.26.113|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.4.162,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.4.151,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.3.23,10.16.3,"10.16.3|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
